Author,Title,Edition,Publisher,Imprint,Course,Section,Professor,Course Capacity,Actual Enrollment,ISBN
MITCHELL,PROMENADES (LL)-W/ACCESS,3RD 18,VISTA HIGH,VISTA HIGH,FR 0001;FR 0001;FR 0001;FR 0001;FR 0001,A;B;C;D;E,"RICE,ANNE-CHRISTINE;MILLER,KERRI LEE CON;RICE,ANNE-CHRISTINE;PONCET-MONTANGE,ANNE;SIMPSON,DANA",16;16;16;16;16,0;0;0;0;0,9781680050257
MOLIERE,LE MISANTHROPE,11,L LAROUSSE,0,FR 0031,C,"NAGINSKI,ISABELLE H",18,0,9782035861559
MOLIERE,LE TARTUFFE,06,L LAROUSSE,0,FR 0031;FR 0146,D;A,"HAKIM,ZEINA;HAKIM,ZEINA",18;0,0;0,9782035859174
MOLINA,LOS MISTERIOS DE MADRID,1ST,ADLER,0,SPN 0191,B,"POLLAKOWSKI,KATHLEEN",20,0,9788432225925
MOYERS,GENESIS:LIVING CONVERSATION,96,PENG RAND,MAIN ST BK,ILVS 0132;JS 0132;REL 0132,01;01;01,"ROSENBERG,JOEL;ROSENBERG,JOEL;ROSENBERG,JOEL",18;18;18,0;0;0,9780385490436
MURDOCH,"SEA,THE SEA",78,PENG RAND,0,ENG 0129,01,"LURZ,JOHN",25,0,9780141186160
MUYSKENS,BRAVO!\s-ACCESS CARD,8TH 15,CENGAGE L,CENGAGE L,FR 0003;FR 0003;FR 0003;FR 0003;FR 0003;FR 0003;FR 0004;FR 0004;FR 0004;FR 0004,A;B;C;D;E;F;A;B;C;D,"MILLER,KERRI LEE CON;KELLY,NANCY;MILLER,KERRI LEE CON;HEITZMAN,BRENNA K.;KELLY,NANCY;HEITZMAN,BRENNA K.;PAULING,DAVID F;PAULING,DAVID F;TAIEB,ANNE;THOMAS,VIOLA GERTRUD",16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0,9781285457550
MUYSKENS,BRAVO!\s-TEXT,8TH 15,CENGAGE L,HEINLE,FR 0003;FR 0003;FR 0003;FR 0003;FR 0003;FR 0003;FR 0004;FR 0004;FR 0004;FR 0004,A;B;C;D;E;F;A;B;C;D,"MILLER,KERRI LEE CON;KELLY,NANCY;MILLER,KERRI LEE CON;HEITZMAN,BRENNA K.;KELLY,NANCY;HEITZMAN,BRENNA K.;PAULING,DAVID F;PAULING,DAVID F;TAIEB,ANNE;THOMAS,VIOLA GERTRUD",16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0,9781285433882
MUYSKENS,BRAVO!\s-W/ACCESS,8TH 15,CENGAGE L,HEINLE,FR 0003;FR 0003;FR 0003;FR 0003;FR 0003;FR 0003;FR 0004;FR 0004;FR 0004;FR 0004,A;B;C;D;E;F;A;B;C;D,"MILLER,KERRI LEE CON;KELLY,NANCY;MILLER,KERRI LEE CON;HEITZMAN,BRENNA K.;KELLY,NANCY;HEITZMAN,BRENNA K.;PAULING,DAVID F;PAULING,DAVID F;TAIEB,ANNE;THOMAS,VIOLA GERTRUD",16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0,9781305121720
MUYSKENS,EBK BRAVO!,8,AC YUZU,CENGAGE LE,FR 0003;FR 0003;FR 0003;FR 0003;FR 0003;FR 0003;FR 0004;FR 0004;FR 0004;FR 0004,A;B;C;D;E;F;A;B;C;D,"MILLER,KERRI LEE CON;KELLY,NANCY;MILLER,KERRI LEE CON;HEITZMAN,BRENNA K.;KELLY,NANCY;HEITZMAN,BRENNA K.;PAULING,DAVID F;PAULING,DAVID F;TAIEB,ANNE;THOMAS,VIOLA GERTRUD",16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0,2813027484092
MYCOFF,EBK POLITICAL SCIENCE RESEARCH METHODS,8,AC YUZU,SAGE PUBLI,PS 0103,01,"SCHILDKRAUT, DEBORAH",18,0,2813031853617
MYCOFF,EBK POLITICAL SCIENCE RESEARCH METHODS,8,AC YUZU,SAGE PUBLI,PS 0103,01,"SCHILDKRAUT, DEBORAH",18,0,2813031884239
MYERS BRIGGS,MBTI SELF SCORING TESTS (#6165),CPP INC,0,0,ELS 0107,01,"STEPP,PAMELA",20,0,2818740161046
MYERS-SCOTTON,MULTIPLE VOICES,06,WILEY,BLACKWELL,PSY 0152,01,"DE RUITER,LAURA",20,0,9780631219378
NASH,LINEAR+NONLINEAR PROGRAMMING,96,OP MCG,MCG,MATH 0220,01,"MAGRUDER,CALEB",0,0,9780070460652
NICHOLSON,MICROECONOMIC THEORY,12TH 17,CENGAGE L,S-W,EC 0016,01,"KUTSOATI,EDWARD",36,0,9781305505797
NIRENBERG,COMMUNITIES OF VIOLENCE-UPDATED ED.,96,INGRAM PUB,PUP,HIST 0096,75,"MARRONE,STEVEN P",12,0,9780691165769
NIRENBERG,EBK COMMUNITIES OF VIOLENCE,0,AC YUZU,PRINCETON,HIST 0096,75,"MARRONE,STEVEN P",12,0,2813026294166
NORRIS,EBK VERTEBRATE ENDOCRINOLOGY,5,AC YUZU,ACADEMIC P,BIO 0110,01,"ROMERO,L MICHAEL",70,0,2813030884636
NORRIS,EBK VERTEBRATE ENDOCRINOLOGY,5,AC YUZU,ACADEMIC P,BIO 0110,01,"ROMERO,L MICHAEL",70,0,2813035295956
NOTHOMB,ROBERT DES NOMS PROPRES,04,L DE POCHE,L DE POCHE,FR 0022;FR 0022,A;B,"PEARCE,TRACY E;PEARCE,TRACY E",16;16,0;0,9782253109280
OKA,TOBIRA:POWER UP YOUR KANJI,10,KINOKUNIYA,KINOKUNIYA,JPN 0021;JPN 0121,01;01,"YAGI;KOIZUMI,SHIORI",0;0,0;0,9784874244876
ORESKES,MERCHANTS OF DOUBT,10,MAC HIGHER,BLOOMSBURY,ENV 0001;ENV 0135,01;01,"STEIN,NINIAN;STEIN,NINIAN",80;32,0;0,9781608193943
OWEN,ANTHOLOGY OF CHINESE LITERATURE,96,OP NORTON,NORTON,CHNS 0061,01,"QIAN,TONY D.",30,0,9780393971064
PALMER,"EBK A HISTORY OF THE MODERN WORLD, VOLU",11,AC YUZU,MCGRAW-HIL,PS 0061,01,"MUFTI,MALIK",175,0,2813025264108
PALMER,"EBK A HISTORY OF THE MODERN WORLD, VOLU",11,AC YUZU,MCGRAW-HIL,PS 0061,01,"MUFTI,MALIK",175,0,2813027239388
PECHENIK,EBK A SHORT GUIDE TO WRITING ABOUT BIOL,9,AC YUZU,MICROSOFT,BIO 0049;BIO 0049,A;B,"TYTELL,ERIC;TYTELL,ERIC",12;12,0;0,2813024119812
PECHENIK,EBK A SHORT GUIDE TO WRITING ABOUT BIOL,9,AC YUZU,MICROSOFT,BIO 0049;BIO 0049,A;B,"TYTELL,ERIC;TYTELL,ERIC",12;12,0;0,2813025590825
PECHENIK,SHORT GUIDE TO WRITING ABOUT BIOLOGY,9TH 16,PEARSON,PEARSON,BIO 0049;BIO 0049,A;B,"TYTELL,ERIC;TYTELL,ERIC",12;12,0;0,9780321984258
PEPALL,INDUSTRIAL ORGANIZATION,5TH 14,WILEY,0,EC 0170,01,"MENEGOTTO,DEBORAH",35,0,9781118250303
PERKELL,READING VERGIL'S AENEID:INTERPRET.GDE.,99,LONGLEAF,0,ENG 0108,01,"FYLER,JOHN M",25,0,9780806131399
PERLOFF,EBK MICROECONOMICS,4,AC YUZU,MICROSOFT,EC 0011;EC 0011;EC 0011;EC 0011;EC 0011;EC 0011,01;02;03;04;05;06,"ULUSOY,FAHRI;EMERICK,KYLE J.;MENEGOTTO,DEBORAH;LUALLEN,JEREMY CLAYT;LUALLEN,JEREMY CLAYT;EMERICK,KYLE J.",28;28;28;28;28;28,0;0;0;0;0;0,2813027000131
PERLOFF,EBK MICROECONOMICS,4,AC YUZU,MICROSOFT,EC 0011;EC 0011;EC 0011;EC 0011;EC 0011;EC 0011,01;02;03;04;05;06,"ULUSOY,FAHRI;EMERICK,KYLE J.;MENEGOTTO,DEBORAH;LUALLEN,JEREMY CLAYT;LUALLEN,JEREMY CLAYT;EMERICK,KYLE J.",28;28;28;28;28;28,0;0;0;0;0;0,2813026944337
PERLOFF,MICROECONOMICS:THEORY+APPL.W/CALC.,4TH 17,OE PEARSON,0,EC 0011;EC 0011;EC 0011;EC 0011;EC 0011;EC 0011,01;02;03;04;05;06,"ULUSOY,FAHRI;EMERICK,KYLE J.;MENEGOTTO,DEBORAH;LUALLEN,JEREMY CLAYT;LUALLEN,JEREMY CLAYT;EMERICK,KYLE J.",28;28;28;28;28;28,0;0;0;0;0;0,9780134167381
PETER,EBK COST-EFFECTIVENESS ANALYSIS IN HEAL,3,AC YUZU,CLIFFS NOT,EC 0048,01,"BENTKOVER,JUDITH",30,0,2813026223487
PIKETTY,CAPITAL IN THE TWENTY-FIRST CENTURY,14,TRILITERAL,HARV,AAST 0194;AFR 0147;AMER 0194;LAS 0191;LST 0194;SOC 0188,04;08;06;04;04;12,"DIAS,FELIPE;DIAS,FELIPE;DIAS,FELIPE;DIAS,FELIPE;DIAS,FELIPE;DIAS,FELIPE",0;0;0;0;0;15,0;0;0;0;0;0,9780674979857
POLGAR,EBK ASSISTIVE TECHNOLOGIES- E-BOOK,4,AC YUZU,MOSBY,ENP 0105;OTS 0105,01;01,"BUXTON,JENNIFER;BUXTON,JENNIFER",24;24,0;0,2813026124982
POWELL,TIME TO BE BORN,99,PENG RAND,STEERFORTH,AMER 0053;ENG 0063,01;01,"JOHNSON,RONNA;JOHNSON,RONNA C",0;40,0;0,9781883642419
PRIMACK,EBK ESSENTIALS OF CONSERVATION BIOLOGY,6,AC YUZU,OXFORD UNI,BIO 0144;ENV 0144,01;01,"REED,J MICHAEL;REED,MICHAEL",50;0,0;0,2813029275292
PRIMACK,ESSENTIALS OF CONSERVATION BIOLOGY,6TH 14,OXF,SINAUER,BIO 0144;ENV 0144,01;01,"REED,J MICHAEL;REED,MICHAEL",50;0,0;0,9781605352893
PROAKIS,FUNDAMENTALS OF COMMUNICATION SYSTEMS,2ND 14,PEARSON,PH,EE 0107,01,"AULL,BRIAN",45,0,9780133354850
PROTHERO,BRINGING FOSSILS TO LIFE,3RD 13,INGRAM PUB,0,EOS 0038,01,HEIM,15,0,9780231158930
PROTHERO,EBK BRINGING FOSSILS TO LIFE,3,AC YUZU,COLUMBIA U,EOS 0038,01,HEIM,15,0,2813026105776
PUGH,"REAL MATHEMATICAL ANALYSIS,UTM",2ND 15,SPRINGER,SPRINGER,MATH 0135;MATH 0135,01;02,"NITECKI,ZBIGNIEW H;TU,LORING W",40;40,0;0,9783319330426
QUINE,ELEMENTARY LOGIC,REV 80,TRILITERAL,HARV,LING 0103;PHIL 0103,01;01,"SMITH,GEORGE E;SMITH,GEORGE E",0;30,0;0,9780674244511
QUINET,EBK THE WILL TO KILL: MAKING SENSE OF S,5,AC YUZU,SAGE PUBLI,SOC 0094,06,"NAVA-COULTER,BRETT",40,0,2813031745295
QUINET,EBK THE WILL TO KILL: MAKING SENSE OF S,5,AC YUZU,SAGE PUBLI,SOC 0094,06,"NAVA-COULTER,BRETT",40,0,2813031810214
RACINE,ANDROMAQUE,08,MEP/SCHOEN,0,FR 0146,A,"HAKIM,ZEINA",0,0,9782035839183
RACINE,EBK IPHIGéNIE,0,AC YUZU,B&N HACHET,FR 0031,C,"NAGINSKI,ISABELLE H",18,0,2813028777254
RACINE,IPHIGENIE,08,L LAROUSSE,0,FR 0031,C,"NAGINSKI,ISABELLE H",18,0,9782035839091
RADCLIFFE,MYSTERIES OF UDOLPHO:NOVEL,01,PENG RAND,0,ENG 0191,02,"KEISER,JESS",15,0,9780140437591
RAFFEL,BEOWULF,08,PENG RAND,0,HIST 0055,13,"MARRONE,STEVEN P",30,0,9780451530967
RAMPOLLA,EBK A POCKET GUIDE TO WRITING IN HISTOR,9,AC YUZU,BEDFORD/ST,DHP H261;HIST 0209,01;01,"FAWAZ,LEILA;FAWAZ,LEILA",0;10,0;0,2813031298609
RAMPOLLA,"POCKET GUIDE TO WRITING IN HISTORY,REV.",9TH 18,MAC HIGHER,BEDFORD BK,DHP H261;HIST 0209,01;01,"FAWAZ,LEILA;FAWAZ,LEILA",0;10,0;0,9781319113025
RANKIN,HANDBUCH ZUR DEUTSCHEN GRAMMATIK,6TH 16,CENGAGE L,CENGAGE L,GER 0021;GER 0121,B;01,"STOESSEL-DESCHNER,SA;STOESSEL-DESCHNER,SA",12;15,0;0,9781305078840
