Author,Title,Edition,Publisher,Imprint,Course,Section,Professor,Course Capacity,Actual Enrollment,ISBN
FERNANDEZ,FROM AFRO-CUBAN RHYTHMS TO LATIN JAZZ,06,INGRAM PUB,U OF CA PR,MUS 0105,01,"SMITH,JOEL LARUE",12,0,9780520247086
FIELD,DISCOVERING STAT.USING IBM SPSS STAT.,5TH 18,SAGE,SAGE,CSHD 0146;DLS 0274,01;01,"JOHNSON,SARA K.;JOHNSON,SARA K.",18;18,0;0,9781526436566
FIELDS,EBK THE ESSENTIALS OF FINANCE AND ACCOU,3,AC YUZU,0,ELS 0103,01,"APESECHE,FRANK",31,0,2813026195937
FIELDS,ESSENTIALS OF FIN.+ACCT.F/NONFIN.MGRS.,3RD 16,HARP PUB,0,ELS 0103,01,"APESECHE,FRANK",31,0,9780814436943
FIORINO,EBK THE NEW ENVIRONMENTAL REGULATION,0,AC YUZU,THE MIT PR,ENV 0135,01,"STEIN,NINIAN",32,0,2813027358645
FIORINO,NEW ENVIRONMENTAL REGULATION,06,TRILITERAL,MIT PR,ENV 0135,01,"STEIN,NINIAN",32,0,9780262562188
FISHER,EBK GENERAL PRINCIPLES AND EMPIRICALLY,1,AC YUZU,CLIFFS NOT,PSY 0109,01,"MASCHER,JACKQUELYN",20,0,2813027285729
FLUECKIGER,EBK EVERYDAY HINDUISM,1,AC YUZU,WILEY-BLAC,REL 0044,01,"HATCHER,BRIAN A.",30,0,2813022720706
FLUECKIGER,EVERYDAY HINDUISM,15,WILEY,BLACKWELL,REL 0044,01,"HATCHER,BRIAN A.",30,0,9781405160216
FOLCH,EBK URBAN ANALYTICS,1,AC YUZU,0,CEE 0193;UEP 0293,01;06,"JIANG,SHAN;JIANG,SHAN",24;24,0;0,2813031661519
FORSTER,HOWARDS END,00,PENG RAND,0,ENG 0135,01,"LURZ,JOHN",25,0,9780141182131
FOX,LUCKY MAN:MEMOIR,02,HACHETTE B,0,PSY 0025,01,"KNOEPFLER,CAROLYN",50,0,9780786888740
FOX,WILL TO KILL,5TH 19,SAGE,SAGE,SOC 0094,06,"NAVA-COULTER,BRETT",40,0,9781506365961
GARCIA,CIEN ANOS DE SOLEDAD,03,PENG RAND,BALLANTINE,LST 0023;SPN 0023,01;A,"BERTE,MARIA JULIANA;BERTE,MARIA JULIANA",16;16,0;0,9780307474728
GARZANTI,DIZIONARI I GARZANTINI INGLESE HAZ,15,MEP/SCHOEN,ADLER,ITAL 0021,A,"PAUSINI,CHRITINA",0,0,9788848006286
GHYSELS ERIC,APPLIED ECONOMIC FORECASTING USING TIM,LATEST,OXF,OXF,EC 0108,01,"BIANCONI,MARCELO",20,0,9780190622015
GIBBS,LOVE CANAL,3RD 10,UCP,ISLAND PR,ENV 0001,01,"STEIN,NINIAN",80,0,9781597267922
GIVEN,INQUISITION+MEDIEVAL SOCIETY,97,LONGLEAF,CORNELL,HIST 0096,75,"MARRONE,STEVEN P",12,0,9780801487590
GOFFMAN,ON THE RUN,14,MAC HIGHER,PICADOR,ENV 0011;UEP 0011,01;01,"HOLLANDER,JUSTIN;HOLLANDER,JUSTIN",20;20,0;0,9781250065667
GOLASH-BOZA,"RACE+RACISMS,BRIEF ED.",2ND 19,OXF,OXF,AAST 0094;AFR 0011;LST 0094;SOC 0011,03;01;03;01,"GORDON,DAANIKA;GORDON,DAANIKA;GORDON,DAANIKA;GORDON,DAANIKA",0;40;0;40,0;0;0;0,9780190889432
GOLDSTEIN,CLASSICAL MECHANICS,3RD 02,PEARSON,A-W,PHY 0131,01,"MANN,A WILLIAM",20,0,9780201657029
GOLDSTEIN,EBK LAUGHTER OUT OF PLACE,1,AC YUZU,UNIVERSITY,LAS 0149;SOC 0149,01;19,"FAHLBERG,ANJULI N;FAHLBERG,ANJULI N",0;35,0;0,2813022425663
GONZALEZ,ATANDO CABOS W/MYSPANISHLAB (MULTI),5TH 17,PEARSON,PEARSON,SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003,A;B;C;D;E;F;G;H;J;K;L;M;N;O,"GONZALEZ PEDEMONTE,N;AKERS,JOANA;CASTRO,MARIA ISABEL;GONZALEZ PEDEMONTE,N;GONZALEZ PEDEMONTE,N;AKERS,JOANA;MALINOWSKA,MAGDALENA;CASTRO,MARIA ISABEL;CASTRO,MARIA ISABEL;FERNANDEZ-GARCIA,MAR;MEDEROS,RAYSA;STAFF;MEDEROS,RAYSA;STAFF",16;16;16;16;16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0;0;0;0;0,9780134884431
GONZALEZ-AGUIL,ATANDO CABOS-MYSPANISHLAB (MULTI SEMES.) 5TH 17,PEARSON,0,0,SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003,A;B;C;D;E;F;G;H;J;K;L;M;N;O,"GONZALEZ PEDEMONTE,N;AKERS,JOANA;CASTRO,MARIA ISABEL;GONZALEZ PEDEMONTE,N;GONZALEZ PEDEMONTE,N;AKERS,JOANA;MALINOWSKA,MAGDALENA;CASTRO,MARIA ISABEL;CASTRO,MARIA ISABEL;FERNANDEZ-GARCIA,MAR;MEDEROS,RAYSA;STAFF;MEDEROS,RAYSA;STAFF",16;16;16;16;16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0;0;0;0;0,9780135172407
GONZALEZ-AGUIL,ATANDO CABOS-MYSPANISHLAB (ONE SEMES.),5TH 18,PEARSON,0,SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0004;SPN 0004;SPN 0004;SPN 0004;SPN 0004;SPN 0004;SPN 0004;SPN 0004,A;B;C;D;E;F;G;H;J;K;L;M;N;O;A;B;C;D;E;F;G;H,"GONZALEZ PEDEMONTE,N;AKERS,JOANA;CASTRO,MARIA ISABEL;GONZALEZ PEDEMONTE,N;GONZALEZ PEDEMONTE,N;AKERS,JOANA;MALINOWSKA,MAGDALENA;CASTRO,MARIA ISABEL;CASTRO,MARIA ISABEL;FERNANDEZ-GARCIA,MAR;MEDEROS,RAYSA;STAFF;MEDEROS,RAYSA;STAFF;RISSE,KATHERINE;RISSE,KATHERINE;RISSE,KATHERINE;DE LAIRE MULGREW,ANN;LANZAS,EUGENIO;DE LAIRE MULGREW,ANN;LANZAS,EUGENIO;FERNANDEZ-GARCIA,MAR",16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9780134039954
GONZALEZ-AGUIL,ATANDO CABOS-W/MYSPANISHLAB (ONE SEMTER) 5TH 17,PEARSON,0,0,SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0004;SPN 0004;SPN 0004;SPN 0004;SPN 0004;SPN 0004;SPN 0004;SPN 0004,A;B;C;D;E;F;G;H;J;K;L;M;N;O;A;B;C;D;E;F;G;H,"GONZALEZ PEDEMONTE,N;AKERS,JOANA;CASTRO,MARIA ISABEL;GONZALEZ PEDEMONTE,N;GONZALEZ PEDEMONTE,N;AKERS,JOANA;MALINOWSKA,MAGDALENA;CASTRO,MARIA ISABEL;CASTRO,MARIA ISABEL;FERNANDEZ-GARCIA,MAR;MEDEROS,RAYSA;STAFF;MEDEROS,RAYSA;STAFF;RISSE,KATHERINE;RISSE,KATHERINE;RISSE,KATHERINE;DE LAIRE MULGREW,ANN;LANZAS,EUGENIO;DE LAIRE MULGREW,ANN;LANZAS,EUGENIO;FERNANDEZ-GARCIA,MAR",16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9780134858135
GOODALL,HINDU SCRIPTURES,96,INGRAM PUB,U OF CA PR,REL 0044,01,"HATCHER,BRIAN A.",30,0,9780520207783
GORDON,EBK REAL RESEARCH,2,AC YUZU,0,SOC 0100,01,"MARROW,HELEN B.",35,0,2813036932034
GORDON,EBK REAL RESEARCH,2,AC YUZU,0,SOC 0100,01,"MARROW,HELEN B.",35,0,2813036966169
GORDON,REAL RESEARCH,2ND 20,SAGE,SAGE,SOC 0100,01,"MARROW,HELEN B.",35,0,9781544339689
GREEN,BOMBAY ISLAM:RELIGIOUS ECONOMY...,13,CAMB,CAMB,CST 0194;REL 0149,04;01,"HATCHER,BRIAN A.;HATCHER,BRIAN A.",0;15,0;0,9781107627796
GREENBLATT,"NORTON ANTH.ENGLISH LIT.-VOL.A,B+C",10TH 18,NORTON,0,ENG 0021,01,"HABER,JUDITH D",40,0,9780393603125
GREGORY,EBK A HISTORY OF BYZANTIUM,2,AC YUZU,WILEY-BLAC,CLS 0039;HIST 0058,01;15,"PROCTOR,DAVID JOHN;PROCTOR,DAVID JOHN",128;128,0;0,2813027712621
GRIFFITHS,EBK INTRODUCTION TO ELECTRODYNAMICS,4,AC YUZU,CAMBRIDGE,PHY 0042,01,"NAPIER,AUSTIN",20,0,2813030743896
GRIFFITHS,EBK INTRODUCTION TO QUANTUM MECHANICS,3,AC YUZU,CAMBRIDGE,PHY 0061,01,"FORD,LAWRENCE H",30,0,2813035254519
GRIFFITHS,INTRO.TO ELECTRODYNAMICS,4TH 17,CAMB,CAMB,PHY 0042,01,"NAPIER,AUSTIN",20,0,9781108420419
GRIFFITHS,INTRO.TO ELEMENTARY PARTICLES-REVISED,2ND 08,WILEY,0,PHY 0183,01,"SLIWA,CHRISTOPHER J.",20,0,9783527406012
GRIFFITHS,INTRO.TO QUANTUM MECHANICS,3RD 18,CAMB,CAMB,PHY 0061,01,"FORD,LAWRENCE H",30,0,9781107189638
GRIMAL,PENGUIN DICT.OF CLASSICAL MYTHOLOGY,90,PENG RAND,PENG,ENG 0108,01,"FYLER,JOHN M",25,0,9780140512359
GRIMBERT,UN SECRET,04,L DE POCHE,L DE POCHE,FR 0022,C,"TAIEB,ANNE",16,0,9782253117186
GROOPMAN,YOUR MEDICAL MIND,12,PENG RAND,PENG,CH 0099,01,"BENTKOVER,JUDITH",25,0,9780143122241
GROSJEAN,PSYCHOLINGUISTICS OF BILINGUALISM,13,WILEY,WILEY,PSY 0152,01,"DE RUITER,LAURA",20,0,9781444332797
HABERMAN,APPLIED PARTIAL DIFF.(CLASSIC VERSION),5TH 19,PEARSON,A-W,MATH 0155,01,"BOGHOSIAN,BRUCE M",40,0,9780134995434
HACKER,RULES FOR WRITERS,9TH 19,MAC HIGHER,BEDFORD BK,ENG 0001;ENG 0001;ENG 0001;ENG 0001,12;20;39;47,"CRANO,RICKY D.;CRANO,RICKY D.;CLEMENTS,CHARLES A.;CALLOWAY,GRAEME L.",15;15;12;12,0;0;0;0,9781319057428
HANSEN,OPEN EMPIRE,2ND 15,NORTON,NORTON,HIST 0040,10,"XU,MAN",45,0,9780393938777
HARIRI,LOOKING INSIDE THE DISORDERED BRAIN,15,OXF,SINAUER,PSY 0112,01,"VANELZAKKER,MICHAEL",20,0,9780878939794
HARPER COLLINS,HARPER COLLINS FRENCH DICT.-FRENCH ENG.,07,HARP PUB,0,FR 0003;FR 0003;FR 0003;FR 0003;FR 0003;FR 0003;FR 0004;FR 0004;FR 0004;FR 0004,A;B;C;D;E;F;A;B;C;D,"MILLER,KERRI LEE CON;KELLY,NANCY;MILLER,KERRI LEE CON;HEITZMAN,BRENNA K.;KELLY,NANCY;HEITZMAN,BRENNA K.;PAULING,DAVID F;PAULING,DAVID F;TAIEB,ANNE;THOMAS,VIOLA GERTRUD",16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0,9780061260476
HARRIS,EBK MAKING RENT IN BED-STUY,0,AC YUZU,HARPERSANF,ENV 0011;UEP 0011,01;01,"HOLLANDER,JUSTIN;HOLLANDER,JUSTIN",20;20,0;0,2813032828522
HARVEY,EBK WRITING WITH SOURCES,3,AC YUZU,HACKETT PU,PS 0004,01,"EVRIGENIS,IOANNIS",20,0,2813032118227
HARVEY,WRITING WITH SOURCES,3RD 17,HACKETT,0,PS 0004,01,"EVRIGENIS,IOANNIS",20,0,9781624665547
HAVERBEKE,ELOQUENT JAVASCRIPT,3RD 19,INGRAM PUB,OREILLY,COMP 0086,01,"JACOB,ROBERT",49,0,9781593279509
HAWLEY,SONGS OF THE SAINTS OF INDIA,2ND 04,OXF,OXF,REL 0044,01,"HATCHER,BRIAN A.",30,0,9780195694208
HAYDEN-MCNEIL,STUDENT LAB NOTEBOOK (NEW ONLY),99,HAYDEN-MCN,0,CHEM 0001;CHEM 0001;CHEM 0002;CHEM 0002;CHEM 0053,01;02;01;02;01,"KRYATOV,SERGIY;KRYATOV,SERGIY;CAMPBELL,VICTORIA L;DAVIS,LUKE M;STOLOW,ROBERT D",200;200;200;150;250,0;0;0;0;0,9781930882003
HAYKIN,EBK COMMUNICATION SYSTEMS,5,AC YUZU,WILEY,EE 0107,01,"AULL,BRIAN",45,0,2813026013590
HAYKIN,EBK COMMUNICATION SYSTEMS,5,AC YUZU,WILEY,EE 0107,01,"AULL,BRIAN",45,0,2813036636543
HECHT,EBK OPTICS,5,AC YUZU,MICROSOFT,BME 0215;PHY 0031;PHY 0115,01;01;01,"GOLDSTEIN,GARY R;GOLDSTEIN,GARY R;GOLDSTEIN,GARY R",30;30;30,0;0;0,2813031264109
HECHT,EBK OPTICS,5,AC YUZU,MICROSOFT,BME 0215;PHY 0031;PHY 0115,01;01;01,"GOLDSTEIN,GARY R;GOLDSTEIN,GARY R;GOLDSTEIN,GARY R",30;30;30,0;0;0,2813031288594
HEIM,SEMANTICS IN GENERATIVE GRAMMAR,98,WILEY,0,LING 0113;PHIL 0111;PSY 0150,01;01;01,"NINAN,DILIP;NINAN,DILIP;NINAN,DILIP",30;30;30,0;0;0,9780631197133
HEMINGWAY,IN OUR TIME,03,S+S,SCRIB,AMER 0053;ENG 0063,01;01,"JOHNSON,RONNA;JOHNSON,RONNA C",0;40,0;0,9780684822761
HERLIHY,HISTORY OF FEUDALISM,79,PENG RAND,0,HIST 0055,13,"MARRONE,STEVEN P",30,0,9781573922814
HIBBELER,EBK MECHANICS OF MATERIALS,10,AC YUZU,MICROSOFT,ME 0020;ME 0020,01;02,"KOUSHYAR,HODA;KOUSHYAR,HODA",33;33,0;0,2813027000674
HIBBELER,EBK MECHANICS OF MATERIALS,10,AC YUZU,MICROSOFT,ME 0020;ME 0020,01;02,"KOUSHYAR,HODA;KOUSHYAR,HODA",33;33,0;0,2813026937926
HIBBELER,MECHANICS OF MATERIALS,10TH 17,PEARSON,PH,ME 0020;ME 0020,01;02,"KOUSHYAR,HODA;KOUSHYAR,HODA",33;33,0;0,9780134319650
HOCHSCHILD,EBK KING LEOPOLD'S GHOST,0,AC YUZU,MARINER BO,AFR 0014;HIST 0014,01;01,"CONZ,CHRISTOPHER;CONZ,CHRISTOPHER",40;40,0;0,2813027286269
HOCHSTEIN,"EBK MUNSON, YOUNG AND OKIISHI'S FUNDAME",8,AC YUZU,WILEY,ES 0008,ME1,"GUASTO,JEFFREY",29,0,2813036263671
HOCHSTEIN,"EBK MUNSON, YOUNG AND OKIISHI'S FUNDAME",8,AC YUZU,WILEY,ES 0008,ME1,"GUASTO,JEFFREY",29,0,2813036643329
HOFFMAN,LATE ANTIQUE+MED.ART OF MEDITERRANEAN,07,WILEY,BLACKWELL,FAH 0028,01,"HOFFMAN,EVA R",25,0,9781405120722
HOGG,PROBABILITY+STATISTICAL INFERENCE,10TH 20,PEARSON,PEARSON,EC 0201,01,"STOREYGARD,ADAM",38,0,9780135189399
HOLLANDER,EBK AN ORDINARY CITY,0,AC YUZU,SPRINGER S,ENV 0011;UEP 0011,01;01,"HOLLANDER,JUSTIN;HOLLANDER,JUSTIN",20;20,0;0,2813036803648
HOLLINGHURST,LINE OF BEAUTY,04,MAC HIGHER,0,ENG 0129,01,"LURZ,JOHN",25,0,9781582346106
HUBBARD,"MONEY,BANKING+FINAN...(LL)-W/MYECONLAB",3RD 18,PEARSON,PEARSON,EC 0151,01,"MCHUGH,CHRISTOPHER",35,0,9780134640273
HUBBARD,"MONEY,BANKING+FINANCIAL SYS.-MYECONLAB",3RD 18,PEARSON,PEARSON,EC 0151,01,"MCHUGH,CHRISTOPHER",35,0,9780134525860
HUBBARD,"MONEY,BANKING+FINANCIAL SYS.-W/MYECONLB",3RD 18,PEARSON,PEARSON,EC 0151,01,"MCHUGH,CHRISTOPHER",35,0,9780134640280
HURSTON,EBK THEIR EYES WERE WATCHING GOD,0,AC YUZU,HARPERSANF,AMER 0053;ENG 0063,01;01,"JOHNSON,RONNA;JOHNSON,RONNA C",0;40,0;0,2813028084345
HURSTON,"THEIR EYES WERE WATCHING GOD,75TH ANN.",37,HARP PUB,PERENNIAL,AMER 0053;ENG 0063,01;01,"JOHNSON,RONNA;JOHNSON,RONNA C",0;40,0;0,9780060838676
ISHIGURO,REMAINS OF THE DAY,89,PENG RAND,0,ENG 0129,01,"LURZ,JOHN",25,0,9780679731726
JALAL,BLACK MILK,97,SOUTH ASIA,0,HIST 0046,10,"JALAL,AYESHA",35,0,9789693503005
JAMES,TURN OF THE SCREW,3RD 10,MAC HIGHER,BEDFORD BK,ENG 0002;ENG 0002,01;02,"LEAVELL,ELIZABETH;LEAVELL,ELIZABETH",15;15,0;0,9780312597061
JEFFREY,EBK FORMAL LOGIC,4,AC YUZU,HACKETT PU,LING 0103;PHIL 0103,01;01,"SMITH,GEORGE E;SMITH,GEORGE E",0;30,0;0,2813029819151
JEFFREY,EBK THE PROCESS OF SOCIAL RESEARCH,2,AC YUZU,OXFORD UNI,CH 0030,01,"TENDULKAR,SHALINI",35,0,2813032269714
JERVIS,EBK INTERNATIONAL POLITICS,13,AC YUZU,MICROSOFT,PS 0061,01,"MUFTI,MALIK",175,0,2813027001275
JERVIS,EBK INTERNATIONAL POLITICS,13,AC YUZU,MICROSOFT,PS 0061,01,"MUFTI,MALIK",175,0,2813026938244
JORDAN,"EBK CHILDREN, ADOLESCENTS, AND THE MEDI",3,AC YUZU,SAGE PUBLI,CSHD 0167;CVS 0147;FMS 0052,01;01;01,"DOBROW,JULIE;DOBROW,JULIE;DOBROW,JULIE",35;0;35,0;0;0,2813026375599
JORDAN,"EBK CHILDREN, ADOLESCENTS, AND THE MEDI",3,AC YUZU,SAGE PUBLI,CSHD 0167;CVS 0147;FMS 0052,01;01;01,"DOBROW,JULIE;DOBROW,JULIE;DOBROW,JULIE",35;0;35,0;0;0,2813025494963
JOUET-PASTRE,PONTO DE ENCONTRO (LOOSELEAF)-W/ACCESS,2ND 13,PEARSON,PH,LAS 0001;POR 0001,01;A,"CHAMPLIN,MARIA;CHAMPLIN,MARIA",16;16,0;0,9780205998494
KALAT,BIOLOGICAL PSYCHOLOGY,13TH 19,CENGAGE L,CENGAGE L,PSY 0025,01,"KNOEPFLER,CAROLYN",50,0,9781337408202
KALAT,EBK BIOLOGICAL PSYCHOLOGY,13,AC YUZU,CENGAGE LE,PSY 0025,01,"KNOEPFLER,CAROLYN",50,0,2813031361464
KALAT,EBK BIOLOGICAL PSYCHOLOGY,13,AC YUZU,CENGAGE LE,PSY 0025,01,"KNOEPFLER,CAROLYN",50,0,2813031549602
KARA,EBK SEX TRAFFICKING,0,AC YUZU,COLUMBIA U,SOC 0094,06,"NAVA-COULTER,BRETT",40,0,2813029163629
KARA,SEX TRAFFICKING:INSIDE THE BUSINESS...,10,INGRAM PUB,CUP,SOC 0094,06,"NAVA-COULTER,BRETT",40,0,9780231139618
