Course Code,Course Name,Course Instructor,Parsed Course Name
2198-84041,Fa19-DEGR-141311-1-Ortho Laboratory Techniques,,Ortho Laboratory Techniques
2198-84042,Fa19-DEGR-140357-1-Orthodontic Techniques,,Orthodontic Techniques
2198-84043,Fa19-DEGR-142639-1-Surgical Dissection,,Surgical Dissection
2198-84044,Fa19-DEGR-139997-1-Cardiopulmonary Resuscitation,,Cardiopulmonary Resuscitation
2198-84045,Fa19-DEGR-140005-1-Oral & Maxillofacial Surgery,,Oral & Maxillofacial Surgery
2198-84046,Fa19-DEGR-142424-1-Dental Sleep Medicine Seminars,"Correa, Leopoldo",Dental Sleep Medicine Seminars
2198-84047,Fa19-DEGR-142425-1-Clinical Management SA I,"Correa, Leopoldo",Clinical Management SA I
2198-84048,Fa19-DEGR-142444-1-Sleep Center Rotation I,"Correa, Leopoldo",Sleep Center Rotation I
2198-84049,Fa19-DEGR-102893-1-Growth & Development,"Trotman, Carroll Ann",Growth & Development
2198-84050,Fa19-DEGR-140193-1-Implant Dentistry A-Z I,,Implant Dentistry A-Z I
2198-84051,Fa19-DEGR-102590-1-Mgmt. Of The  Medically,"Ganda, Kanchan",Mgmt. Of The  Medically
2198-84052,Fa19-DEGR-102636-1-Oral & Maxillofacial Radiology,"Akyalcin, Sercan; Amato, Robert; Att, Wael; Campos, Hugo; Ganguly, Rumpa; Ramesh, Aruna",Oral & Maxillofacial Radiology
2198-84053,Fa19-DEGR-102873-1-Bone Biology,"Steffensen, Bjorn; Valverde, Livia",Bone Biology
2198-84054,Fa19-DEGR-142365-1-Complex Case Seminar IIIA,"Dragan, Irina",Complex Case Seminar IIIA
2198-84055,Fa19-DEGR-141553-1-Complex Cases Seminar IA,"Alon, Elinor; Dragan, Irina; Karimbux, Nadeem; Qian, Xu; Yuan, Anna",Complex Cases Seminar IA
2198-84056,Fa19-DEGR-142364-1-Complex Case Seminars IIA,"Dragan, Irina",Complex Case Seminars IIA
2198-84057,Fa19-DEGR-102299-1-Introduction to Biostatistics,"Pagni, Sarah",Introduction to Biostatistics
2198-84058,Fa19-DEGR-102572-1-Clinico-Pathologic Conf.,"Lerman, Mark; Wright, Tanya",Clinico-Pathologic Conf.
2198-84059,Fa19-DEGR-102370-1-Principles of Epidemiology,"Gul, Gulsun; Leader, David; Magnuson, Britta; Nevius, Amanda; Tran, Duong; Yu, Yau-Hua",Principles of Epidemiology
2198-84060,Fa19-DEGR-102522-1-Basic Biostatistics,"Pagni, Sarah",Basic Biostatistics
2198-84061,Fa19-DEGR-102784-1-Immunology,"Uzel, Naciye",Immunology
2198-84062,Fa19-DEGR-102803-1-Applied Nutrition in Dentistry,"Palmer, Carole",Applied Nutrition in Dentistry
2198-84063,Fa19-DEGR-102669-1-Oral Microbiology,"Loo, Cheen",Oral Microbiology
2198-84064,Fa19-DEGR-143361-1-Operative Lecture Series,"Papathanasiou, Aikaterini",Operative Lecture Series
2198-84065,Fa19-DEGR-143362-1-Adv. Pros Treat Plan for Esthe,"Papathanasiou, Aikaterini",Adv. Pros Treat Plan for Esthe
2198-84066,Fa19-DEGR-143364-1-Adv Pros Treat Sem for Estheti,"Papathanasiou, Aikaterini",Adv Pros Treat Sem for Estheti
2198-84067,Fa19-DEGR-141070-1-Patient Treat Clinic I,,Patient Treat Clinic I
2198-84068,Fa19-DEGR-141071-1-Patient Surgery Clinic I,,Patient Surgery Clinic I
2198-84069,Fa19-DEGR-141065-1-Implant Treat Plan Sem II,,Implant Treat Plan Sem II
2198-84070,Fa19-DEGR-141066-1-Current Lit Review II,,Current Lit Review II
2198-84071,Fa19-DEGR-141067-1-Int. Case Presentation II,,Int. Case Presentation II
2198-84072,Fa19-DEGR-141220-1-PreClin Esthetic and Oper,"Papathanasiou, Aikaterini",PreClin Esthetic and Oper
2198-84073,Fa19-DEGR-141221-1-Adv. Oper. Esthetic I,"Papathanasiou, Aikaterini",Adv. Oper. Esthetic I
2198-84074,Fa19-DEGR-140924-1-Comp Esthetic Lit Review I,"Papathanasiou, Aikaterini",Comp Esthetic Lit Review I
2198-84075,Fa19-DEGR-141222-1-Adv.Esthetic Dent Clinic I,"Papathanasiou, Aikaterini",Adv.Esthetic Dent Clinic I
2198-84076,Fa19-DEGR-141224-1-Pre-Clin Op. Teaching I,"Papathanasiou, Aikaterini",Pre-Clin Op. Teaching I
2198-84077,Fa19-DEGR-141225-1-Advanced Est. Treat. Plan I,"Papathanasiou, Aikaterini",Advanced Est. Treat. Plan I
2198-84078,Fa19-DEGR-141227-1-Adv. Esthetic & Operative III,"Papathanasiou, Aikaterini",Adv. Esthetic & Operative III
2198-84079,Fa19-DEGR-141228-1-Comp. Esthetic Lit Review III,"Papathanasiou, Aikaterini",Comp. Esthetic Lit Review III
2198-84080,Fa19-DEGR-141229-1-Adv. Esthetic Clinic III,"Papathanasiou, Aikaterini",Adv. Esthetic Clinic III
2198-84081,Fa19-DEGR-141172-1-Clin. Op. Dentistry Teaching A,"Papathanasiou, Aikaterini",Clin. Op. Dentistry Teaching A
2198-84082,Fa19-DEGR-141230-1-Adv. Esthetic Treat. Plan III,"Papathanasiou, Aikaterini",Adv. Esthetic Treat. Plan III
2198-84083,Fa19-DEGR-141514-1-Adv. A&O Dentistry V,"Papathanasiou, Aikaterini",Adv. A&O Dentistry V
2198-84084,Fa19-DEGR-141515-1-Aesthetic Lit Review V,"Papathanasiou, Aikaterini",Aesthetic Lit Review V
2198-84085,Fa19-DEGR-141512-1-Advanced Esthetic Clinic V,"Papathanasiou, Aikaterini",Advanced Esthetic Clinic V
2198-84086,Fa19-DEGR-141513-1-Clinical Operative C,"Papathanasiou, Aikaterini",Clinical Operative C
2198-84087,Fa19-DEGR-141511-1-Adv. Esthetic Treatment Plan V,"Papathanasiou, Aikaterini",Adv. Esthetic Treatment Plan V
2198-84088,Fa19-DEGR-142415-1-Clinical Management II,,Clinical Management II
2198-84089,Fa19-DEGR-142417-1-Clinical Management IV,,Clinical Management IV
2198-84090,Fa19-DEGR-143369-1-OFP Clinic V,,OFP Clinic V
2198-84091,Fa19-DEGR-140337-1-Special Topics in Perio IIA,,Special Topics in Perio IIA
2198-84092,Fa19-DEGR-141099-1-Moderate Sedation I,,Moderate Sedation I
2198-84093,Fa19-DEGR-141174-1-Moderate Sedation III,,Moderate Sedation III
2198-84094,Fa19-DEGR-140328-1-Class Perio & Impl Lit Rev IA,"Green, Martyn",Class Perio & Impl Lit Rev IA
2198-84095,Fa19-DEGR-140330-1-Review Current Lit IA,"Green, Martyn",Review Current Lit IA
2198-84096,Fa19-DEGR-140333-1-CaseBased Surgical Seminars IA,"Green, Martyn",CaseBased Surgical Seminars IA
2198-84097,Fa19-DEGR-140336-1-Special Topics in Perio IA,"Green, Martyn",Special Topics in Perio IA
2198-84098,Fa19-DEGR-140327-1-Basic Sciences II,"Green, Martyn; Papathanasiou, Evangelos",Basic Sciences II
2198-84099,Fa19-DEGR-140329-1-Class Perio&Implants Lit IIA,"Green, Martyn",Class Perio&Implants Lit IIA
2198-84100,Fa19-DEGR-140331-1-Review Current Lit IIA,"Green, Martyn",Review Current Lit IIA
2198-84101,Fa19-DEGR-140334-1-CaseBased Surgical Seminar IIA,"Green, Martyn",CaseBased Surgical Seminar IIA
2198-84102,Fa19-DEGR-140335-1-Class Perio & Imp Lit Rev IIIA,"Green, Martyn",Class Perio & Imp Lit Rev IIIA
2198-84103,Fa19-DEGR-140332-1-Review of Perio Current IIIA,"Green, Martyn",Review of Perio Current IIIA
2198-84104,Fa19-DEGR-140857-1-CaseBased Surgical Semin IIIB,"Green, Martyn",CaseBased Surgical Semin IIIB
2198-84105,Fa19-DEGR-140338-1-Special Topics in Perio IIIA,"Green, Martyn",Special Topics in Perio IIIA
2198-84106,Fa19-DEGR-141747-1-Assess. in Clinical Perio IIIA,"Green, Martyn",Assess. in Clinical Perio IIIA
2198-84107,Fa19-DEGR-141738-1-Assess of Clinical Perio IA,,Assess of Clinical Perio IA
2198-84108,Fa19-DEGR-139977-1-Clinical Endodontic Science I,"Amato, Robert",Clinical Endodontic Science I
2198-84109,Fa19-DEGR-141745-1-Assess. in Clinical Perio IIA,"Green, Martyn",Assess. in Clinical Perio IIA
2198-84110,Fa19-DEGR-143492-1-Advanced Esthetic Clinic I - F,"Papathanasiou, Aikaterini",Advanced Esthetic Clinic I - F
2198-84111,Fa19-DEGR-141735-1-Nutrition for Orthodontists,"Akyalcin, Sercan",Nutrition for Orthodontists
2198-84112,Fa19-DEGR-143503-1-Patient Surgery II,,Patient Surgery II
2198-84113,Fa19-DEGR-143504-1-Digital Treatment & Design IA,,Digital Treatment & Design IA
2198-84114,Fa19-DEGR-143505-1-Patient Surgery II - 2nd year,,Patient Surgery II - 2nd year
2198-84115,Fa19-DEGR-141068-1-Clinic Fixed Implant Resto IIA,,Clinic Fixed Implant Resto IIA
2198-84116,Fa19-DEGR-141069-1-Patient  Remov Implant IIA,,Patient  Remov Implant IIA
2198-84117,Fa19-DEGR-139982-1-Endo Textbook Review,,Endo Textbook Review
2198-84118,Fa19-GENE-144162-901-Introduction to Genetics,"Cochran, Brent; Poltorak, Alexander",Introduction to Genetics
2198-84119,Fa19-DLS-142499-01-Cultural Sensitivity,"Pinderhughes, Ellen",Cultural Sensitivity
2198-84120,Fa19-DLS-142511-01-Probs Resrch: Meth & Design,"Casey, Mary",Probs Resrch: Meth & Design
2198-84121,Fa19-DLS-142515-01-Structural Equation Modeling,"Johnson, Sara",Structural Equation Modeling
2198-84122,Fa19-CHEM-143255-LD-Bioanalytical Chemistry,"Mace, Charles",Bioanalytical Chemistry
2198-84124,Fa19-MCM-134656-1-Ecology & Conservation Biology,"Robbins, Alison",Ecology & Conservation Biology
2198-84125,Fa19-MCM-134683-1-Research Skills I Sys Review,,Research Skills I Sys Review
2198-84126,Fa19-PSY-138665-01-Senior Honors Thesis B,"Chechile, Richard; Cook, Robert; De Ruiter, Johannes; Goldberg, Ariel; Kanarek, Robin; Kuperberg, Gina; Maddox, Keith; Miczek, Klaus; Muentener, Paul; Patel, Aniruddh; Queen, Alexander; Race, Elizabeth; Remedios, Jessica; Shin, Lisa; Sommers, Samuel; Taylor, Holly; Thomas, Ayanna; Urry, Heather; Ward, Nathan",Senior Honors Thesis B
2198-84127,Fa19-MES-144158-01-Senior Honors Thesis A,"Bishara, Amahl",Senior Honors Thesis A
2198-84128,Fa19-UEP-135153-11-Special Topics,,Special Topics
2198-84129,Fa19-ILVS-126182-02-Advanced Directed Study,"Roy, Modhumita",Advanced Directed Study
2198-84130,Fa19-PER-142040-01-Adv. Performance Projects,,Adv. Performance Projects
2198-84131,Fa19-CTS-140064-901-Advanced Topics in Biostatisti,,Advanced Topics in Biostatisti
2198-84132,Fa19-IDIS-121568-01-Doctoral Degree Cont.,,Doctoral Degree Cont.
2198-84134,Fa19-BIO-105728-RA-Biochemistry II,"Pamuk Turner, Diren",Biochemistry II
2198-84135,Fa19-CHEM-100957-RZZ-Organic Chemistry I,,Organic Chemistry I
